"","Country","mean_climate"
"1","Albania",13.3457689393939
"2","Argentina",15.2188951149425
"3","Armenia",9.71093560606061
"4","Aruba",28.6472738095238
"5","Australia",22.1833824404762
"6","Austria",7.18807040229885
"7","Azerbaijan",12.1617291666667
"8","Bahamas",25.7958079710145
"9","Bahrain",27.18494375
"10","Barbados",27.1664216666667
"11","Belarus",7.1686875
"12","Belgium",10.3808778735632
"13","Belize",25.7169230769231
"14","Brazil",25.4469324712644
"15","Bulgaria",11.2782686781609
"16","Canada",-3.91451436781609
"17","Chile",9.93834913793103
"18","Colombia",25.3690488505747
"19","Costa Rica",26.2898754789272
"20","Croatia",12.425798245614
"21","Cuba",26.0954747474747
"22","Cyprus",19.9568298611111
"23","Czech Republic",8.72058680555556
"24","Denmark",-16.617875
"25","Dominica",26.27475
"26","Ecuador",22.417716954023
"27","El Salvador",25.6363526570048
"28","Estonia",6.11510964912281
"29","Fiji",25.6280075757576
"30","Finland",2.41534722222222
"31","France",13.669216954023
"32","Georgia",9.34607708333334
"33","Germany",9.24450347222222
"34","Greece",15.472025862069
"35","Grenada",27.4601358695652
"36","Guatemala",23.7713303571429
"37","Guyana",26.6845933333333
"38","Hungary",10.7594782608696
"39","Iceland",2.15731609195402
"40","Ireland",10.0740344827586
"41","Israel",20.4555732758621
"42","Italy",13.6549109195402
"43","Jamaica",26.7093039215686
"44","Japan",12.7253764367816
"45","Kazakhstan",6.58563888888889
"46","Kiribati",27.2931590909091
"47","Kuwait",26.2402447916667
"48","Kyrgyzstan",4.39761284722222
"49","Latvia",6.61177850877193
"50","Lithuania",7.15935526315789
"51","Luxembourg",10.0818448275862
"52","Macau",22.9700833333333
"53","Malta",19.3627456896552
"54","Mauritius",24.1727715517241
"55","Mexico",21.1413295019157
"56","Montenegro",11.168525
"57","Netherlands",10.4055804597701
"58","New Zealand",10.9378390804598
"59","Nicaragua",26.6590972222223
"60","Norway",1.09229910714286
"61","Oman",28.4005833333334
"62","Panama",26.9508442028986
"63","Paraguay",23.910483974359
"64","Philippines",27.0672222222222
"65","Poland",8.62898674242424
"66","Portugal",15.5005096153846
"67","Puerto Rico",26.1665852490421
"68","Qatar",28.1584375
"69","Romania",9.77639666666667
"70","Saint Lucia",27.3796481481482
"71","San Marino",14.7600833333333
"72","Serbia",11.1529505208333
"73","Seychelles",27.4783515625
"74","Singapore",27.1986939655172
"75","Slovakia",8.60010515873016
"76","Slovenia",10.8087719298246
"77","South Africa",17.8851828703704
"78","Spain",14.5096795977012
"79","Sri Lanka",27.6032348484849
"80","Suriname",26.9217283950617
"81","Sweden",3.49515432098765
"82","Switzerland",8.08569298245614
"83","Thailand",26.6458983333333
"84","Turkey",13.1784083333333
"85","Turkmenistan",16.1081172839506
"86","Ukraine",8.70444551282051
"87","United Arab Emirates",29.1028472222222
"88","United Kingdom",9.21965804597701
"89","United States",9.52343486590038
"90","Uruguay",17.8764086538462
"91","Uzbekistan",13.5871031746032
